exp_num,num_classes,num_observations,first_class_perc,pred_approach,mean_accuracy,sd_accuracy,quantile_accuracy,mean_sensitivity,sd_sensitivity,quantile_sensitivity,mean_specificity,sd_specificity,quantile_specificity,mean_g_mean,sd_g_mean,quantile_g_mean,mean_precision,sd_precision,quantile_precision,mean_recall,sd_recall,quantile_recall,mean_f_measure,sd_f_measure,quantile_f_measure
1,2,100,0.01,most_frequent,0.99,0,0.99,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
2,2,100,0.01,proportional,0.9799789999999999,0.010078676350180978,0.99,0.0088,0.09339931661010333,0,0.9897888888888889,0.010146775607051597,1,0.008749737852069955,0.09286713368017693,0,0.008240870969422305,0.07778875443839378,0.3333333333333333,0.0088,0.09339931661010333,0,0.7090909090909091,0.22293337966365037,1
3,2,100,0.01,uniform,0.49975200000000003,0.050037674535166894,0.61,0.4921,0.499962584858733,1,0.49982929292929296,0.05034013285237975,0.6161616161616161,0.3472905824417596,0.3537215500332584,0.778498944161523,0.009828468386823925,0.010086154595642617,0.025,0.4921,0.499962584858733,1,0.03915509808569872,0.003890356964183991,0.05
4,2,100,0.05,most_frequent,0.95,0,0.95,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
5,2,100,0.05,proportional,0.905223,0.021681265616376573,0.95,0.04948,0.096169924952900665,0.4,0.9502621052631579,0.02228841003572328,0.9894736842105263,0.1022557152016681,0.1911853680220364,0.6189974917048067,0.049623664332358236,0.10762177544877978,0.5,0.04948,0.096169924952900665,0.4,0.208553251379217,0.0636051606278239,0.4444444444444445
6,2,100,0.05,uniform,0.499766,0.05028834990147899,0.62,0.50066,0.22241517765459512,1,0.49971894736842104,0.05187467928981092,0.6210526315789474,0.4805376432480093,0.1379450786623948,0.7181848464596079,0.050004886789675546,0.02194508319743076,0.1,0.50066,0.22241517765459512,1,0.09391144145283628,0.03675256147210883,0.17944805194805336
7,2,100,0.1,most_frequent,0.9,0,0.9,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
8,2,100,0.1,proportional,0.82044,0.030257527192339734,0.89,0.10139000000000001,0.09609365899542963,0.4,0.9003344444444444,0.03193051837895125,0.9666666666666667,0.23788185528461595,0.1862412484325691,0.5962847939999439,0.10165214514113188,0.09817489841077832,0.38461538461538464,0.10139000000000001,0.09609365899542963,0.4,0.15173588165465612,0.0701185683335601,0.3636363636363636
9,2,100,0.1,uniform,0.500557,0.05003428918261357,0.62,0.50108,0.15839615694281672,0.9,0.5004988888888889,0.052747871858970924,0.6222222222222222,0.4930029581220505,0.0879341348946542,0.6733003292241385,0.1002857869383279,0.030515085623225687,0.1702127659574468,0.50108,0.15839615694281672,0.9,0.16706858356175325,0.05041553613536131,0.2807675438596495
10,2,100,0.2,most_frequent,0.8,0,0.8,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
11,2,100,0.2,proportional,0.679859,0.03983125370707263,0.77,0.201385,0.08997856071942312,0.45,0.7994775,0.04481688129527649,0.9,0.388963774451773,0.09818201788053547,0.5905611644284768,0.20050903514996196,0.08187693733311394,0.4117647058823529,0.201385,0.08997856071942312,0.45,0.20096808038269495,0.08025319373897315,0.4
12,2,100,0.2,uniform,0.500275,0.050246859102683915,0.62,0.50123,0.11180669556747204,0.75,0.50003625,0.05583078020715235,0.625,0.4966132235032355,0.06404659583747828,0.6373774391990981,0.2004364154408032,0.040752753839519644,0.29545454545454547,0.50123,0.11180669556747204,0.75,0.2857786603053457,0.05834517855694832,0.417910447761194
